"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"79","Thr_1_Mm_2491β",0.318123000297065,0.0285855738101593,0.182108788952001,12.7142814105472,3.80622585295782,3.59011275936756,3.58578585736915,0.0132576776845387,""
"80","Thr_5_Mm_2491β",0.428120086153773,0.0130322196983235,0.249942319287623,13.8474569034646,2.77322856943766,4.3589319626915,4.38063243430549,0.0138422130172026,""
"81","As_1_Mm_2492β",0.225680180548564,0.0226611914115247,0.39659801743245,5.52863501298899,1.74773233877299,4.07179993599826,4.04783058102763,0.0110947706267994,""
"82","As_5_Mm_2492β",0.302817037150398,0.00695569559590813,0.671312095580327,5.58656710403966,1.03252598176522,5.51576756879306,5.51431373602776,0.00821086870925486,""
"83","Glu_1_Mm_2492β",0.541922256923733,0.00740255343668364,0.580282607435288,7.37492997144531,1.19449932098343,8.90785689118366,8.90694574697218,0.01499578654069,""
"84","Glu_5_Mm_2492β",0.309054889685769,0.0252101299791205,0.186481408793359,12.9835010716759,3.71697739225053,3.4187102993999,3.42454979013621,0.0116539213499758,""
"85","Ser_1_Mm_2492β",1671604.87619375,0.0304078288873928,0.0833051576072957,213.940533754131,8.32057942711629,2.29372613731762,2.29476398299994,0.0136382490920386,""
"86","Ser_5_Mm_2492β",691020.354039503,0.0235668179917459,0.0714970336991772,240.483264943438,9.6947683658647,1.482303931311,1.48699977987451,0.00886546883719997,""
"87","Thr_1_Mm_2492β",0.684519587342097,0.0220570658526159,0.129542940114665,26.2641174001498,5.35071367028111,2.72364023088851,2.74381539875268,0.0236869952046484,""
"88","Thr_5_Mm_2492β",0.342781175771541,0.00943643644199776,0.229127474738796,15.557273515295,3.02515960318652,3.00517208060704,3.05292482786112,0.0178755514722964,""
"89","As_1_Mm_2493β",0.263749028015259,0.0194017689898494,0.399679677332602,6.33814102381128,1.73425675577477,4.56523454277367,4.53876940988892,0.0121438915107649,""
"90","As_5_Mm_2493β",0.282644014272086,0.0113290633960529,0.580750041302881,5.46863313778782,1.19353789283408,5.17153612503466,5.15363937417739,0.00647363066664406,""
"91","Glu_1_Mm_2493β",0.647358585283882,0.0373453387694654,0.331414276974915,8.42834108690256,2.09148256039799,9.87003058655913,9.77059849056091,0.0362009149744519,""
"92","Glu_5_Mm_2493β",0.305595957483034,0.0154813159623604,0.187182646562439,15.656591779399,3.70305257078803,2.73442552345884,2.76067588137817,0.0167632639127428,""
"93","Ser_1_Mm_2493β",0.5066800275285,0.00506969001185362,0.585234694704646,7.85077160611897,1.18439181209132,8.09077865042119,8.15442607752773,0.025930924157155,""
