"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"43","F3a",0.146267018670458,0.0261369596165095,7.1666884917485e-05,21282.1387894181,9671.79167000231,9056.41477513614,9025.627232961,0.00869045421251676,"","F3a_a_Glu_1_Csm_2491_Control_yes","F3a","a","Glu","1","Csm","2491","Control","yes"
"44","F4a",0.0450520731381119,0.00233994703567918,0.000644059540108706,4509.45042798972,1076.21599773672,3659.01842324876,3663.23623449025,0.00990292955746691,"","F4a_a_Glu_5_Csm_2491_Control_no","F4a","a","Glu","5","Csm","2491","Control","no"
"45","F5a",0.452285571327557,0.0164534504227318,0.000127876507961708,25624.1116548737,5420.44189044877,27091.6601364057,27051.5868560195,0.0126917184594155,"","F5a_a_Ser_1_Csm_2491_Control_yes","F5a","a","Ser","1","Csm","2491","Control","yes"
"46","F6a",0.43419991439957,0.0292245937485011,9.41209542927986e-05,27930.1834739961,7364.43001208478,24829.7039124315,24724.2506080585,0.0124681991103305,"","F6a_a_Ser_5_Csm_2491_Control_no","F6a","a","Ser","5","Csm","2491","Control","no"
"47","F7a",0.360330032246519,0.0213626687896651,0.000101933765457415,27118.1866747433,6799.97621445197,20941.2117658749,20903.8560535683,0.0128196873762287,"","F7a_a_Thr_1_Csm_2491_Control_yes","F7a","a","Thr","1","Csm","2491","Control","yes"
"48","F8a",0.360092957184789,0.017856014929718,0.000104038030933862,28385.4169669017,6662.44040124698,20510.8761428202,20561.786387039,0.0211342430006235,"","F8a_a_Thr_5_Csm_2491_Control_no","F8a","a","Thr","5","Csm","2491","Control","no"
"49","G1a",0.368119756448004,0.0123805031149461,0.000153832024599836,21829.4931176039,4505.87049324114,23470.6770545894,23413.2528978996,0.00591857437213719,"","G1a_a_As_1_Csm_2492_Deletion_yes","G1a","a","As","1","Csm","2492","Deletion","yes"
"50","G2a",0.533714265539001,0.0157863124947901,0.000132364813193402,26371.7584364085,5236.64230574003,31603.4116323027,31501.811882961,0.0137696647715952,"","G2a_a_As_5_Csm_2492_Deletion_no","G2a","a","As","5","Csm","2492","Deletion","no"
"51","G3a",0.20523305141568,0.0305979241618824,6.05922914676596e-05,28745.6803364186,11439.5274344411,11269.6634310605,11255.3894184708,0.00952245220180661,"","G3a_a_Glu_1_Csm_2492_Deletion_yes","G3a","a","Glu","1","Csm","2492","Deletion","yes"
"52","G4a",1179755.24181267,0.0347835183073051,1.62069882382873e-05,1069873.61776066,42768.4138699168,6476.67842687925,6515.630222961,0.017426197258958,"","G4a_a_Glu_5_Csm_2492_Deletion_no","G4a","a","Glu","5","Csm","2492","Deletion","no"
"53","G5a",0.360134112638425,0.0435746597138736,4.87993909979918e-05,40636.4761150054,14204.0129268923,16088.9524424233,16002.081247039,0.0157797347563586,"","G5a_a_Ser_1_Csm_2492_Deletion_yes","G5a","a","Ser","1","Csm","2492","Deletion","yes"
"54","G6a",0.324747697885136,0.0322745758589416,6.70362563057687e-05,32879.1179315676,10339.8849929556,16819.4549565491,16728.0420959001,0.0119464467683298,"","G6a_a_Ser_5_Csm_2492_Deletion_no","G6a","a","Ser","5","Csm","2492","Deletion","no"
"55","G7a",0.473531424206831,0.0165810580478192,0.00010271932259808,32285.1994227818,6747.97266013999,25200.1042257462,25209.7040943928,0.0167657706375643,"","G7a_a_Thr_1_Csm_2492_Deletion_yes","G7a","a","Thr","1","Csm","2492","Deletion","yes"
"56","G8a",0.422031781494075,0.0146078904705947,0.000125992321194691,26416.6283092812,5501.5033772483,24949.6929605576,24909.5841062002,0.00771266610132249,"","G8a_a_Thr_5_Csm_2492_Deletion_no","G8a","a","Thr","5","Csm","2492","Deletion","no"
"57","H1a",0.420368290185997,0.0134732936662728,0.000135509046422736,25148.4736194627,5115.13584412359,25399.8774198326,25375.5958694903,0.013302544485604,"","H1a_a_As_1_Csm_2493_Control_yes","H1a","a","As","1","Csm","2493","Control","yes"
"58","H2a",0.486729084339935,0.0183436653457401,0.00012602423666037,25709.3975379275,5500.1101290377,29106.2264742407,29030.7022080585,0.00950819064467089,"","H2a_a_As_5_Csm_2493_Control_no","H2a","a","As","5","Csm","2493","Control","no"
"59","H3a",0.23427607092327,0.0395217384046214,5.12129594656995e-05,31142.2750769515,13534.6050646456,12232.2246980472,12203.6486935682,0.0112669754807051,"","H3a_a_Glu_1_Csm_2493_Control_yes","H3a","a","Glu","1","Csm","2493","Control","yes"
"60","H4a",123875.776277887,0.0338362915660352,1.53468132100046e-05,984781.361173888,45165.5448642643,6023.139879044,6035.4569039805,0.0121312376847149,"","H4a_a_Glu_5_Csm_2493_Control_no","H4a","a","Glu","5","Csm","2493","Control","no"
"61","H5a",0.468398432459524,0.0183557275514474,0.000123115813698353,25986.9201851946,5630.04182596907,27871.2572281572,27851.41625,0.0155702258734418,"","H5a_a_Ser_1_Csm_2493_Control_yes","H5a","a","Ser","1","Csm","2493","Control","yes"
"62","H6a",0.464972708104526,0.0196347264537353,0.00011591400410425,26929.7378773711,5979.83984693126,27208.9059840232,27157.4979942007,0.0132577372403768,"","H6a_a_Ser_5_Csm_2493_Control_no","H6a","a","Ser","5","Csm","2493","Control","no"
"63","H7a",0.386613820154689,0.00908019220957621,0.000151315755848039,24634.343354632,4580.79977643604,23590.7967188484,23613.0463812002,0.00842738767838741,"","H7a_a_Thr_1_Csm_2493_Control_yes","H7a","a","Thr","1","Csm","2493","Control","yes"
"64","H8a",0.408753571436541,0.0132938345513577,0.000128626102598257,26376.8282661147,5388.85316866732,24189.8894775468,24146.8668456001,0.00640168171041039,"","H8a_a_Thr_5_Csm_2493_Control_no","H8a","a","Thr","5","Csm","2493","Control","no"
"65","A1b",0.316272144217117,0.0484713185403956,9.47441945172682e-05,18040.9076506638,7315.98578774778,20883.5050675022,20814.2649260195,0.014588582456288,"","A1b_b_As_1_Mm_2490_Deletion_yes","A1b","b","As","1","Mm","2490","Deletion","yes"
"66","A2b",0.306122896660296,0.0251067596904932,0.000151451159231208,15947.5502638976,4576.70435854355,21213.5167701864,21197.4085024512,0.00527668576125325,"","A2b_b_As_5_Mm_2490_Deletion_no","A2b","b","As","5","Mm","2490","Deletion","no"
