"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"107","F3b",0.12768383272778,0.036895376856085,4.61009297527871e-05,19532.0547683514,15035.4273607256,7645.54775270208,7639.76945856825,0.0102674580854628,"","F3b_b_Glu_1_Csm_2491_Control_yes","F3b","b","Glu","1","Csm","2491","Control","yes"
"108","F4b",0.0701123018549257,0.00382250360190053,0.000469415406893399,6078.05020849457,1476.61787487379,5581.80300049775,5581.74378,0.0024973926123454,"","F4b_b_Glu_5_Csm_2491_Control_no","F4b","b","Glu","5","Csm","2491","Control","no"
"109","F5b",0.426096057698372,0.0207182336556481,0.000124421228609098,23901.1091504556,5570.97199817603,26209.8938691826,26249.7141925488,0.0229568300420741,"","F5b_b_Ser_1_Csm_2491_Control_yes","F5b","b","Ser","1","Csm","2491","Control","yes"
"110","F6b",0.455766974309051,0.0356365279159313,9.47633638258032e-05,26035.3154767028,7314.5058657279,26868.3078882444,26782.6062,0.0134458455675932,"","F6b_b_Ser_5_Csm_2491_Control_no","F6b","b","Ser","5","Csm","2491","Control","no"
"111","F7b",0.436848911562813,0.0467662429463481,7.08567561248931e-05,29936.4120711448,9782.37247183874,23826.6835939867,23774.9119115292,0.0175472450239536,"","F7b_b_Thr_1_Csm_2491_Control_yes","F7b","b","Thr","1","Csm","2491","Control","yes"
"112","F8b",0.370558154302277,0.0453058397963894,7.06761170784159e-05,27890.118712309,9807.37495511944,20865.6021613817,20830.1677325488,0.0186960534888544,"","F8b_b_Thr_5_Csm_2491_Control_no","F8b","b","Thr","5","Csm","2491","Control","no"
"113","G1b",0.390623947790597,0.0213232895017231,0.000124747745494346,22860.6233632985,5556.39044067022,24414.8990220769,24405.5567435683,0.00557151583322205,"","G1b_b_As_1_Csm_2492_Deletion_yes","G1b","b","As","1","Csm","2492","Deletion","yes"
"114","G2b",0.535454016650822,0.024100745016278,0.000106103578632835,28790.9038608301,6532.74083203678,30310.4688568556,30353.7923169415,0.0131357555276055,"","G2b_b_As_5_Csm_2492_Deletion_no","G2b","b","As","5","Csm","2492","Deletion","no"
"115","G3b",0.329504589669383,0.0321211665894646,3.35797904704913e-05,66275.192717825,20641.7958792524,9532.06801624015,9556.627552039,0.0135386433997912,"","G3b_b_Glu_1_Csm_2492_Deletion_yes","G3b","b","Glu","1","Csm","2492","Deletion","yes"
"116","G4b",0.0738355086269645,0.00773084416001979,0.000369098448602292,5814.2245164811,1877.94661068007,5884.3891733108,5877.4282830585,0.00358974391891054,"","G4b_b_Glu_5_Csm_2492_Deletion_no","G4b","b","Glu","5","Csm","2492","Deletion","no"
"117","G5b",0.391559216140049,0.0545392606686001,4.90072863911961e-05,37162.2559867795,14143.7576246716,18554.42384686,18478.2009710195,0.0190613756495125,"","G5b_b_Ser_1_Csm_2492_Deletion_yes","G5b","b","Ser","1","Csm","2492","Deletion","yes"
"118","G6b",0.234627349305359,0.0319513843465752,9.41461752454003e-05,19622.6023919174,7362.45714446918,15169.3964522497,15095.5270575488,0.0155307489366164,"","G6b_b_Ser_5_Csm_2492_Deletion_no","G6b","b","Ser","5","Csm","2492","Deletion","no"
"119","G7b",0.397279441096465,0.0404743140931067,8.28327231117514e-05,26276.1157095316,8368.03565693241,23170.6490417687,23148.6789774513,0.0204235046732105,"","G7b_b_Thr_1_Csm_2492_Deletion_yes","G7b","b","Thr","1","Csm","2492","Deletion","yes"
"120","G8b",0.405570924629156,0.0383054368452042,7.27222130571688e-05,31083.9432844438,9531.43683918206,21745.1888621571,21727.4182369415,0.0144669009871449,"","G8b_b_Thr_5_Csm_2492_Deletion_no","G8b","b","Thr","5","Csm","2492","Deletion","no"
"121","H1b",0.373594886397541,0.0132679194612098,0.000147214515829183,22427.562874682,4708.41599183211,23587.7388955214,23541.7865469415,0.0050814507498486,"","H1b_b_As_1_Csm_2493_Control_yes","H1b","b","As","1","Csm","2493","Control","yes"
"122","H2b",0.541433443557483,0.0218956743781682,0.000117110591661017,27039.8293236502,5918.74031826514,31633.9149049217,31633.8293580585,0.00890757789650153,"","H2b_b_As_5_Csm_2493_Control_no","H2b","b","As","5","Csm","2493","Control","no"
"123","H3b",0.287567981213724,0.0289722814353977,3.49661418860267e-05,62601.3096940004,19823.3817965757,8823.43013669373,8835.134275,0.0125498838393741,"","H3b_b_Glu_1_Csm_2493_Control_yes","H3b","b","Glu","1","Csm","2493","Control","yes"
"124","H4b",0.0677221522834633,0.0056336482868438,0.000436649574354386,5495.9485851282,1587.4220914673,5425.55648559128,5416.1259130585,0.00552316415236048,"","H4b_b_Glu_5_Csm_2493_Control_no","H4b","b","Glu","5","Csm","2493","Control","no"
"125","H5b",0.469121940180417,0.0177433086660888,0.000134556661592709,24051.5632479071,5151.34050113433,28838.5781707716,28914.1094450975,0.0212083690636185,"","H5b_b_Ser_1_Csm_2493_Control_yes","H5b","b","Ser","1","Csm","2493","Control","yes"
"126","H6b",0.484367476776865,0.0270872452667976,0.000107470139690512,26297.8483737456,6449.67227693237,28573.8018503748,28579.4198280585,0.0149005546031171,"","H6b_b_Ser_5_Csm_2493_Control_no","H6b","b","Ser","5","Csm","2493","Control","no"
"127","H7b",0.379591021648833,0.0204138682915883,0.000116601832683297,24593.1060951767,5944.56506050473,23059.9355426727,23076.73484,0.0118095305357285,"","H7b_b_Thr_1_Csm_2493_Control_yes","H7b","b","Thr","1","Csm","2493","Control","yes"
"128","H8b",0.382360125544137,0.0263199200054135,0.000104816459208393,24850.2726948499,6612.96122569695,23054.44660644,23090.9863785683,0.015567630418243,"","H8b_b_Thr_5_Csm_2493_Control_no","H8b","b","Thr","5","Csm","2493","Control","no"
"129","A1c",0.344093286515893,0.0413022161704495,9.96937110404783e-05,19982.4728283831,6952.7673644179,22214.2692159554,22129.194065,0.0131695673292982,"","A1c_c_As_1_Mm_2490_Deletion_yes","A1c","c","As","1","Mm","2490","Deletion","yes"
"130","A2c",0.324003536074964,0.0251439219972025,0.000137658282022655,17981.9020794048,5035.27408867322,21786.5547082866,21739.6289024513,0.00634319763954433,"","A2c_c_As_5_Mm_2490_Deletion_no","A2c","c","As","5","Mm","2490","Deletion","no"
"131","A3c",0.613254714256189,0.0153560632437733,0.000123294923039185,29700.4189124267,5621.86311872432,34288.1299203359,34466.152032039,0.0171168637138255,"","A3c_c_Glu_1_Mm_2490_Deletion_yes","A3c","c","Glu","1","Mm","2490","Deletion","yes"
"132","A4c",76312.654851232,0.0594846185579075,9.89223356116135e-06,1421785.15145862,70069.8357225776,8039.48513801946,8040.3730339805,0.019340130013989,"","A4c_c_Glu_5_Mm_2490_Deletion_no","A4c","c","Glu","5","Mm","2490","Deletion","no"
"133","A5c",383002.030586852,0.0593697840164976,1.39066870864525e-05,1127498.24498709,49842.7250322752,9810.70784347159,9816.12652050975,0.0193112733467273,"","A5c_c_Ser_1_Mm_2490_Deletion_yes","A5c","c","Ser","1","Mm","2490","Deletion","yes"
"134","A6c",0.144233133792557,0.0240887628551165,9.00277013248103e-05,17849.4910673014,7699.26556337526,9512.89031819372,9500.9697639805,0.00459481841965014,"","A6c_c_Ser_5_Mm_2490_Deletion_no","A6c","c","Ser","5","Mm","2490","Deletion","no"
"135","A7c",2119784.65703772,0.0567760304206536,1.95182644212939e-05,893289.777382702,35512.746707322,12618.7768244347,12690.097392961,0.0270753946223836,"","A7c_c_Thr_1_Mm_2490_Deletion_yes","A7c","c","Thr","1","Mm","2490","Deletion","yes"
"136","A8c",2187102.25768585,0.0612722717373375,1.78518349654151e-05,974158.451316036,38827.7833568818,12448.0977143321,12488.59179,0.0245717964687316,"","A8c_c_Thr_5_Mm_2490_Deletion_no","A8c","c","Thr","5","Mm","2490","Deletion","no"
"137","B1c",0.288117502910059,0.03805396654047,9.85725395718724e-05,19099.7382726962,7031.84866262424,18810.3689004821,18754.5610405098,0.0110973760073333,"","B1c_c_As_1_Mm_2491_Control_yes","B1c","c","As","1","Mm","2491","Control","yes"
"138","B2c",0.333101020514172,0.0231349637725021,0.000137544865060637,18867.4272901288,5039.42608293206,22124.48972854,22086.378412961,0.00720020862494785,"","B2c_c_As_5_Mm_2491_Control_no","B2c","c","As","5","Mm","2491","Control","no"
"139","B3c",0.619065176083943,0.0131265073298171,0.000128527375084257,29815.7892487798,5392.99258314074,34564.3200629646,34645.2141425488,0.0121337772872699,"","B3c_c_Glu_1_Mm_2491_Control_yes","B3c","c","Glu","1","Mm","2491","Control","yes"
"140","B4c",0.0682310667056807,0.00667044819755967,0.000352700624112863,6300.91117089599,1965.25646163342,5405.07429026963,5411.024287961,0.00350237357244094,"","B4c_c_Glu_5_Mm_2491_Control_no","B4c","c","Glu","5","Mm","2491","Control","no"
"141","B5c",0.535241885729967,0.0112906151601908,0.000134992599850017,28426.942108779,5134.70502331286,30630.889443528,30888.8425539805,0.0278077921315644,"","B5c_c_Ser_1_Mm_2491_Control_yes","B5c","c","Ser","1","Mm","2491","Control","yes"
"142","B6c",0.562065839035253,0.0189348805313983,0.000113448747760371,29584.6783774029,6109.78256035076,31440.8438661451,31647.5977424512,0.0272975596435395,"","B6c_c_Ser_5_Mm_2491_Control_no","B6c","c","Ser","5","Mm","2491","Control","no"
"143","B7c",0.398600382292664,0.0188468646506574,7.85974330796175e-05,38209.5918184542,8818.95442892903,18846.7280774711,19041.5143980585,0.0236647982479099,"","B7c_c_Thr_1_Mm_2491_Control_yes","B7c","c","Thr","1","Mm","2491","Control","yes"
"144","B8c",0.430789112856468,0.0263188058248184,6.51765646851166e-05,41921.4269174437,10634.9143117423,18857.8670783457,18999.8696214317,0.0271301273316565,"","B8c_c_Thr_5_Mm_2491_Control_no","B8c","c","Thr","5","Mm","2491","Control","no"
"145","C1c",0.303777064620858,0.0377792561213902,9.91862451934995e-05,19677.4048063119,6988.33975626061,19687.0966041449,19616.1982744903,0.0121109275584562,"","C1c_c_As_1_Mm_2492_Deletion_yes","C1c","c","As","1","Mm","2492","Deletion","yes"
"146","C2c",0.317439420633253,0.0248882176790724,0.000125964761010011,19562.972838787,5502.70706666016,20824.1967103163,20752.2467344903,0.00938490838317795,"","C2c_c_As_5_Mm_2492_Deletion_no","C2c","c","As","5","Mm","2492","Deletion","no"
"147","C3c",0.593260184147674,0.012865550571224,0.000120650354252833,31571.8512192342,5745.09030539103,32076.4778312984,32167.9496875488,0.0127506163452244,"","C3c_c_Glu_1_Mm_2492_Deletion_yes","C3c","c","Glu","1","Mm","2492","Deletion","yes"
"148","C4c",0.126016840635496,0.0210334479393615,0.00017932852403402,8965.04475160445,3865.23663367937,9555.40884463033,9550.4755460195,0.00660151330409366,"","C4c_c_Glu_5_Mm_2492_Deletion_no","C4c","c","Glu","5","Mm","2492","Deletion","no"
"149","C5c",0.139434645233389,0.0355606839943775,8.77917741516416e-05,12210.000515197,7895.35451650266,9797.23481284385,9764.01010347075,0.0138936348528607,"","C5c_c_Ser_1_Mm_2492_Deletion_yes","C5c","c","Ser","1","Mm","2492","Deletion","yes"
"150","C6c",0.155470459580694,0.0286663967612762,9.26162215183334e-05,16054.6118815841,7484.07966980964,10505.3639899716,10496.3350680585,0.00448357522583768,"","C6c_c_Ser_5_Mm_2492_Deletion_no","C6c","c","Ser","5","Mm","2492","Deletion","no"
"151","C7c",935908.007719299,0.0433130570053845,2.10500309038938e-05,802306.354848955,32928.5588094661,10468.9326299091,10552.6544074512,0.0282479761813262,"","C7c_c_Thr_1_Mm_2492_Deletion_yes","C7c","c","Thr","1","Mm","2492","Deletion","yes"
"152","C8c",1701610.58539368,0.0413167595569318,2.298645844843e-05,762778.347942178,30154.5878463625,11123.2040286388,11241.8017725488,0.0273659519515158,"","C8c_c_Thr_5_Mm_2492_Deletion_no","C8c","c","Thr","5","Mm","2492","Deletion","no"
"153","D1c",0.261073734081569,0.0292758085848675,0.000105609642629519,19592.0031579129,6563.29444264402,16995.9764280947,16959.1888305098,0.00845699948087147,"","D1c_c_As_1_Mm_2493_Control_yes","D1c","c","As","1","Mm","2493","Control","yes"
"154","D2c",0.335735316372055,0.00885564451772841,0.00014441848251436,24986.670750483,4799.57390835361,20358.6860431352,20429.9846610195,0.0152148628973004,"","D2c_c_As_5_Mm_2493_Control_no","D2c","c","As","5","Mm","2493","Control","no"
"155","D3c",0.591257685411626,0.0061945089740155,0.0001617443082069,28118.8045220979,4285.45021611076,34072.0681886391,34180.521563883,0.0125364512101422,"","D3c_c_Glu_1_Mm_2493_Control_yes","D3c","c","Glu","1","Mm","2493","Control","yes"
"156","D4c",469183.031667056,0.0451961568634896,1.81032501412122e-05,892408.337136672,38288.5490259006,9306.45806735544,9330.612175,0.0149215264315419,"","D4c_c_Glu_5_Mm_2493_Control_no","D4c","c","Glu","5","Mm","2493","Control","no"
"157","D5c",0.553597062954259,0.0125676820982548,0.000135837295293169,27697.4373759223,5102.77519192332,32078.7668176873,32303.2627469415,0.0305753615313839,"","D5c_c_Ser_1_Mm_2493_Control_yes","D5c","c","Ser","1","Mm","2493","Control","yes"
"158","D6c",0.74165198276889,0.0267392764011329,9.35984238600259e-05,35107.7165614663,7405.543298427,37380.8991806143,37440.0293015292,0.0160180741111237,"","D6c_c_Ser_5_Mm_2493_Control_no","D6c","c","Ser","5","Mm","2493","Control","no"
"159","D7c",0.440597362266284,0.0154940709748158,7.57001882140592e-05,43749.8878519348,9156.47895880941,18559.3528232887,18793.7455219415,0.0241916179100693,"","D7c_c_Thr_1_Mm_2493_Control_yes","D7c","c","Thr","1","Mm","2493","Control","yes"
"160","D8c",0.357319109902959,0.0146038499633636,8.32266726427429e-05,37915.9068382756,8328.42595468564,17013.2541055223,17242.6274885683,0.028175961028735,"","D8c_c_Thr_5_Mm_2493_Control_no","D8c","c","Thr","5","Mm","2493","Control","no"
"161","E1c",0.358567826355173,0.0244556692281523,0.000124386626965554,21020.0625329195,5572.52172093949,23028.7905932534,22972.1100969415,0.00827561055390177,"","E1c_c_As_1_Csm_2490_Deletion_yes","E1c","c","As","1","Csm","2490","Deletion","yes"
"162","E2c",0.560749955148123,0.028296586558832,0.00010939012016649,26828.32908017,6336.46968761885,32816.5059136417,32810.0489955098,0.0189989244543842,"","E2c_c_As_5_Csm_2490_Deletion_no","E2c","c","As","5","Csm","2490","Deletion","no"
"163","E3c",558273.372435676,0.049858948779507,1.65202542585991e-05,982500.691413288,41957.4160124774,9438.0500385524,9457.1962619415,0.0166411276908211,"","E3c_c_Glu_1_Csm_2490_Deletion_yes","E3c","c","Glu","1","Csm","2490","Deletion","yes"
"164","E4c",0.133349509571015,0.0240688448864951,9.21399029053368e-05,16420.6947219472,7522.76873215369,8967.34038012424,8936.30423541225,0.00754000763930509,"","E4c_c_Glu_5_Csm_2490_Deletion_no","E4c","c","Glu","5","Csm","2490","Deletion","no"
"165","E5c",0.315298330811442,0.0459503603650247,7.79243460385648e-05,22694.3505165931,8895.12990223757,19292.3348306742,19193.4815774513,0.0179477056304624,"","E5c_c_Ser_1_Csm_2490_Deletion_yes","E5c","c","Ser","1","Csm","2490","Deletion","yes"
"166","E6c",0.196214422734748,0.0216401089791946,0.000124267876886977,16800.8183619898,5577.84680903793,13356.3415764174,13347.0173964318,0.00609454240920335,"","E6c_c_Ser_5_Csm_2490_Deletion_no","E6c","c","Ser","5","Csm","2490","Deletion","no"
"167","E7c",0.449596547486546,0.0348941727967291,7.87752375018721e-05,31421.5650161417,8799.04907355528,24069.7870641241,24080.8869530585,0.0203205196204138,"","E7c_c_Thr_1_Csm_2490_Deletion_yes","E7c","c","Thr","1","Csm","2490","Deletion","yes"
"168","E8c",0.425736734409372,0.0343065966010959,7.52824054175654e-05,32337.8269079385,9207.29321433472,22389.9469626515,22416.5364869415,0.0188935188339161,"","E8c_c_Thr_5_Csm_2490_Deletion_no","E8c","c","Thr","5","Csm","2490","Deletion","no"
"169","F1c",0.391306744318869,0.0154225909895727,0.000132847259396304,24038.4907125864,5217.62499060806,24053.8914788668,24078.6706430585,0.00510883568081571,"","F1c_c_As_1_Csm_2491_Control_yes","F1c","c","As","1","Csm","2491","Control","yes"
"170","F2c",0.506244610162793,0.025253510552178,0.000113390087435853,25988.8995133447,6112.94334658726,30060.6025208736,30051.775667039,0.0137350280290412,"","F2c_c_As_5_Csm_2491_Control_no","F2c","c","As","5","Csm","2491","Control","no"
"171","F3c",0.16061754155938,0.0338553230813562,4.77542419119298e-05,27646.0632863862,14514.8818787297,8748.87511547904,8760.27622449025,0.0144635162191097,"","F3c_c_Glu_1_Csm_2491_Control_yes","F3c","c","Glu","1","Csm","2491","Control","yes"
"172","F4c",0.116017969808931,0.0241340218681653,0.000151992307510807,8795.86491232618,4560.40961487911,8756.98738351069,8737.86379254875,0.0072691813188296,"","F4c_c_Glu_5_Csm_2491_Control_no","F4c","c","Glu","5","Csm","2491","Control","no"
"173","F5c",0.540634326973372,0.0197959576599309,0.000123520915571505,26472.9417571117,5611.57741871408,31919.1409313442,31999.1796315293,0.016248256132254,"","F5c_c_Ser_1_Csm_2491_Control_yes","F5c","c","Ser","1","Csm","2491","Control","yes"
"174","F6c",0.544845642223189,0.0252907494320917,0.000105828113326873,28560.7829604254,6549.74523091996,30959.1953745927,30862.408997961,0.010338716142994,"","F6c_c_Ser_5_Csm_2491_Control_no","F6c","c","Ser","5","Csm","2491","Control","no"
"175","F7c",0.425960812857382,0.0188925264935592,0.000103253795394474,29734.640931691,6713.0431178033,23711.2632527327,23761.862627039,0.0131016831033124,"","F7c_c_Thr_1_Csm_2491_Control_yes","F7c","c","Thr","1","Csm","2491","Control","yes"
"176","F8c",0.409318276037712,0.0303056537502983,8.053804949109e-05,31366.9779334245,8606.45601600556,21956.4601245068,21894.3926060195,0.0110012241056647,"","F8c_c_Thr_5_Csm_2491_Control_no","F8c","c","Thr","5","Csm","2491","Control","no"
"177","G1c",0.406759644411043,0.0287529664517937,0.000116385204541508,22134.8661053483,5955.62969786883,25646.2897905894,25610.7911569415,0.0082813817972144,"","G1c_c_As_1_Csm_2492_Deletion_yes","G1c","c","As","1","Csm","2492","Deletion","yes"
"178","G2c",0.524441586156218,0.0244292339533745,0.000114603768042938,26341.649372416,6048.20585218668,30974.3009608243,30997.3357380585,0.0160066890002165,"","G2c_c_As_5_Csm_2492_Deletion_no","G2c","c","As","5","Csm","2492","Deletion","no"
"179","G3c",230124.785725942,0.038478308037121,1.85033713085735e-05,843307.80505166,37460.5886138585,8095.24969810223,8106.95171439275,0.0120413707175188,"","G3c_c_Glu_1_Csm_2492_Deletion_yes","G3c","c","Glu","1","Csm","2492","Deletion","yes"
"180","G4c",0.110231212742169,0.025896038733309,6.16784838995128e-05,19142.9642724111,11238.0709890539,6899.22113638148,6893.91483050975,0.0115279799119664,"","G4c_c_Glu_5_Csm_2492_Deletion_no","G4c","c","Glu","5","Csm","2492","Deletion","no"
"181","G5c",0.428241521851222,0.0577785805363542,4.6770153544261e-05,39729.0824904431,14820.2887532534,19410.5433484307,19330.987857961,0.0192474099937697,"","G5c_c_Ser_1_Csm_2492_Deletion_yes","G5c","c","Ser","1","Csm","2492","Deletion","yes"
"182","G6c",0.30788168217429,0.0393388812404408,8.22521609404518e-05,23352.5406812522,8427.09994041085,18739.6609762506,18629.6587210195,0.0181214166649443,"","G6c_c_Ser_5_Csm_2492_Deletion_no","G6c","c","Ser","5","Csm","2492","Deletion","no"
"183","G7c",0.447585395348781,0.0504190661092295,7.56136109358473e-05,27296.48450034,9166.96309012448,25552.7685398337,25495.7872415293,0.0191790487201757,"","G7c_c_Thr_1_Csm_2492_Deletion_yes","G7c","c","Thr","1","Csm","2492","Deletion","yes"
"184","G8c",0.528949519209843,0.0603402589853301,7.83391369146664e-05,26165.335006927,8848.03187600828,30793.9091094265,30564.265885,0.0308142722022568,"","G8c_c_Thr_5_Csm_2492_Deletion_no","G8c","c","Thr","5","Csm","2492","Deletion","no"
"185","H1c",0.501330229953559,0.00495234900892544,0.000187956356895971,24513.5389843526,3687.80919149004,30703.2156854764,30962.7441415292,0.0297887590427366,"","H1c_c_As_1_Csm_2493_Control_yes","H1c","c","As","1","Csm","2493","Control","yes"
"186","H2c",0.529136876120277,0.0150789233006355,0.000135523087476746,26040.1243257739,5114.60588350957,31514.6434782056,31540.0967974513,0.0128143874032392,"","H2c_c_As_5_Csm_2493_Control_no","H2c","c","As","5","Csm","2493","Control","no"
"187","H3c",0.23586182274142,0.0382927028073791,3.69699022310777e-05,44382.8370547647,18748.9589836478,9889.53618089252,9899.8955260195,0.016045239373983,"","H3c_c_Glu_1_Csm_2493_Control_yes","H3c","c","Glu","1","Csm","2493","Control","yes"
"188","H4c",0.0758757357240284,0.00720572610184778,0.000328309824932336,6866.79590338484,2111.25932860158,5966.79733234821,5956.487991117,0.00442040938632731,"","H4c_c_Glu_5_Csm_2493_Control_no","H4c","c","Glu","5","Csm","2493","Control","no"
"189","H5c",0.493016503696836,0.0164197125074164,0.000135438675147305,24868.7329012864,5117.7935682409,29922.6007934799,29974.2782805098,0.0191576328655587,"","H5c_c_Ser_1_Csm_2493_Control_yes","H5c","c","Ser","1","Csm","2493","Control","yes"
"190","H6c",0.54028788724132,0.0210219250599922,0.00011476954284418,27941.6488041632,6039.46973545949,31084.7758476042,31046.05972,0.0124424817356829,"","H6c_c_Ser_5_Csm_2493_Control_no","H6c","c","Ser","5","Csm","2493","Control","no"
"191","H7c",0.437844788884113,0.0220611116216123,9.88418954914831e-05,29707.531411132,7012.68603878273,24352.3394005968,24246.6287075488,0.0142475267563164,"","H7c_c_Thr_1_Csm_2493_Control_yes","H7c","c","Thr","1","Csm","2493","Control","yes"
"192","H8c",0.461448827152532,0.0204999385409104,0.000113532803976466,27027.493149828,6105.25906418754,26945.4618209649,26965.084575922,0.0129555582588335,"","H8c_c_Thr_5_Csm_2493_Control_no","H8c","c","Thr","5","Csm","2493","Control","no"
